date,name,rank,nationality,branch,age,country,province,where,source,cause,state,city,state_pop_2010
2014-02-10,"Landis, Christopher A.",Specialist,United States,U.S. Army,27,Afghanistan,Parwan,Bagram Airfield,hostile,hostile fire - rpg attack,Kentucky,Independence,4339367
2014-02-10,"Gray, Joshua A.",Private 1st Class,United States,U.S. Army,21,Afghanistan,Parwan,Bagram Air Base,non-hostile,NA,Kentucky,Van Lear,4339367
2014-01-20,"Balli, Edward",Chief Petty Officer,United States,U.S. Army,42,Afghanistan,Kandahar,Zhary district,hostile,hostile fire - small arms fire,California,Monterey,37253956
2014-01-17,"Sipple, Andrew H.",Specialist,United States,U.S. Army,22,Afghanistan,Kandahar,Kandahar City,non-hostile,NA,North Carolina,Cary,9535483
2014-01-15,"Lee, Daniel Tyler",Sergeant,United States,U.S. Army,28,Afghanistan,Parwan,Parwan,hostile,hostile fire - small arms fire,Tennessee,Crossville,6346105
2014-01-10,"McAdams, Andrew L.",Chief Warrant Officer,United States,U.S. Army National Guard,27,Afghanistan,Parwan,Bagram Air Base,non-hostile,helicopter crash,Wyoming,Cheyenne,563626
2014-01-10,"Scobie, Drew M.",Sergeant,United States,U.S. Army National Guard,25,Afghanistan,Parwan,Bagram Air Base,non-hostile,helicopter crash,Hawaii,Kailua,1360301
2014-01-04,"Lacey, William K.",Sergeant 1st Class,United States,U.S. Army,38,Afghanistan,Nangarhar,Nangarhar,hostile,hostile fire - rpg attack,Florida,Laurel,18801310
2014-01-01,"Hess, Jacob M.",Sergeant,United States,U.S. Marine,22,Afghanistan,Helmand,Helmand,hostile,hostile fire,Washington,Spokane,6724540
2013-12-27,"Lyon, David I.",Captain,United States,U.S. Air Force,28,Afghanistan,Kabul,Kabul,hostile,hostile fire - suicide car bomb (vbied),Idaho,Sandpoint,1567582
2013-12-23,"Vasselian, Daniel M.",Sergent,United States,U.S. Marine,27,Afghanistan,Helmand,Helmand,hostile,hostile fire - direct fire,Massachusetts,Abington,6547629
2013-12-17,"Gordon, Terry K. D.",Specialist,United States,U.S. Army,22,Afghanistan,Zabul,Naw Bahar,non-hostile,helicopter crash,Mississippi,Shubuta,2967297
2013-12-17,"Forde, Omar W.",Sergeant 1st Class,United States,U.S. Army,28,Afghanistan,Zabul,Naw Bahar,non-hostile,helicopter crash,Georgia,Marietta,9687653
2013-12-17,"Williams, Jesse L.",Staff Sergeant,United States,U.S. Army,30,Afghanistan,Zabul,Naw Bahar,non-hostile,helicopter crash,Indiana,Elkhart,6483802
2013-12-17,"Bohler, Peter C.",Sergeant,United States,Unknown,29,Afghanistan,Zabul,Naw Bahar,non-hostile,helicopter crash,North Carolina,Willow Spring,9535483
2013-12-17,"Silverman, Joshua B.",Chief Warrant Officer 2,United States,U.S. Army,35,Afghanistan,Zabul,Naw Bahar,non-hostile,helicopter crash,Arizona,Scottsdale,6392017
2013-12-17,"Billings, Randy L.",Chief Warrant Officer 2,United States,U.S. Army,34,Afghanistan,Zabul,Naw Bahar,non-hostile,helicopter crash,Oklahoma,Heavener,3751351
2013-12-11,"Rodriguez, Matthew R.",Lance Corporal,United States,U.S. Marine,19,Afghanistan,Helmand,Helmand,hostile,hostile fire,Massachusetts,Fairhaven,6547629
2013-12-11,"Smith, James L.",Petty Officer 1st Class,United States,U.S. Navy,38,Afghanistan,Unknown,"Landstuhl, Germany",non-hostile,NA,Texas,Huffman,25145561
2013-11-17,"Viola, Alex A.",Staff Sergeant,United States,U.S. Army,29,Afghanistan,Kandahar,Kandahar,hostile,hostile fire - ied attack,Texas,Keller,25145561
2013-11-13,"Vazquez, Richard L.",Staff Sergeant,United States,U.S. Army,28,Afghanistan,Kandahar,Panjwai,hostile,hostile fire - ied attack,Texas,Seguin,25145561
2013-11-03,"Robertson, Forrest W.",Sergeant 1st Class,United States,U.S. Army,35,Afghanistan,Logar,Pul-E-Alam,hostile,hostile fire - small arms fire,Kansas,Westmoreland,2853118
2013-10-20,"Grant, Christopher O.",Lance Corporal,United States,U.S. Marine,20,Afghanistan,Helmand,Helmand,hostile,hostile fire - ied attack,Louisiana,Richwood,4533372
2013-10-18,"Turnbull, Lyle D.",Sergeant,United States,U.S. Army,31,Afghanistan,Unknown,Camp Arifjan,non-hostile,medical emergency,Virginia,Norfolk,8001024
2013-10-13,"Quinn, Patrick H.",Sergeant,United States,U.S. Army,26,Afghanistan,Paktika,Sharana,hostile,hostile fire - small arms fire - green on blue,Pennsylvania,Quarryville,12702379
2013-10-06,"Patterson, Cody J.",Private 1st Class,United States,U.S. Army,24,Afghanistan,Kandahar,Zhari District,hostile,hostile fire - ied attack,Oregon,Philomath,3831074
2013-10-06,"Peters, Joseph M.",Sergeant,United States,U.S. Army,24,Afghanistan,Kandahar,Zhari District,hostile,hostile fire - ied attack,Missouri,Springfield,5988927
2013-10-06,"Hawkins, Patrick C.",Sergeant,United States,U.S. Army,25,Afghanistan,Kandahar,Zhari District,hostile,hostile fire - ied attack,Pennsylvania,Carlisle,12702379
2013-10-06,"Moreno, Jennifer M.",1st Lieutenant,United States,U.S. Army,25,Afghanistan,Kandahar,Zhari District,hostile,hostile fire - ied attack,California,San Diego,37253956
2013-10-05,"Lopez, Angel L.",Specialist,United States,U.S. Army,27,Afghanistan,Zabul,Zabul,hostile,hostile fire - small arms fire - green on blue,Ohio,Parma,11536504
2013-10-05,"Collins, Jeremiah M.",Lance Corporal,United States,U.S. Marine,19,Afghanistan,Helmand,Helmand,non-hostile,NA,Wisconsin,Milwaukee,5686986
2013-09-26,"Baysore, Jr., Thomas A.",Staff Sergeant,United States,U.S. Army,31,Afghanistan,Paktia,Paktya,hostile,hostile fire - small arms fire - green on blue,Pennsylvania,Milton,12702379
2013-09-22,"Jones, Landon L.",Lieutenant Commander,United States,U.S. Navy,35,Afghanistan,Unknown,Red Sea (central),non-hostile,helicopter crash,California,Lompoc,37253956
2013-09-22,"Gibson, Jonathan S.",Chief Warrant Officer,United States,U.S. Navy,32,Afghanistan,Unknown,Red Sea (central),non-hostile,helicopter crash,Oregon,Aurora,3831074
2013-09-21,"Strickland, Joshua J.",Specialist,United States,U.S. Army,23,Afghanistan,Paktia,Forward Operating Base Shank,hostile,hostile fire - small arms fire - green on blue,Georgia,Woodstock,9687653
2013-09-21,"McGill, Timothy R.",Staff Sergeant,United States,U.S. Army,30,Afghanistan,Paktia,Forward Operating Base Shank,hostile,hostile fire - small arms fire - green on blue,New Jersey,Ramsey,8791894
2013-09-21,"Nevins, Liam J.",Staff Sergeant,United States,U.S. Army,32,Afghanistan,Paktia,Forward Operating Base Shank,hostile,hostile fire - small arms fire - green on blue,Colorado,Denver,5029196
2013-09-20,"Wickliffchacin, James T.",Specialist,United States,U.S. Army,22,Afghanistan,Logar,"Brooke Army Medical Center, Fort Sam Houston, Texas",hostile,hostile fire - ied attack,Oklahoma,Edmond,3751351
2013-09-19,"Brown III, William D.",Sergeant,United States,U.S. Army,44,Afghanistan,Laghman,Laghman Province,non-hostile,NA,North Carolina,Franklin,9535483
2013-09-13,"Thomas Jr., Robert E.",Staff Sergeant,United States,U.S. Army,24,Afghanistan,Kandahar,"Brooke Army Medical Center, Fort Sam Houston, Texas",non-hostile,NA,California,Fontana,37253956
2013-09-05,"Lobraico Jr., Todd J.",Staff Sergeant,United States,U.S. Air Force,22,Afghanistan,Parwan,Bagram Airfield (near),hostile,hostile fire - small arms fire,Connecticut,New Fairfield,3574097
2013-08-31,"Bowden, Joshua J.",Staff Sergeant,United States,U.S. Army,28,Afghanistan,Ghazni,Ghazni,hostile,hostile fire - small arms fire,Georgia,Villa Rica,9687653
2013-08-28,"Young, Ricardo D.",Sergeant 1st Class,United States,U.S. Army,34,Afghanistan,Ghazni,Ghazni,hostile,hostile fire - small arms fire,Arkansas,Rosston,2915918
2013-08-28,"Ollis, Michael H.",Staff Sergeant,United States,U.S. Army,24,Afghanistan,Ghazni,Ghazni,hostile,"hostile fire - ied attack, small arms fire, indirect fire",New York,Staten Island,19378102
2013-08-26,"Togi, Jason",1st Lieutenant,United States,U.S. Army,24,Afghanistan,Zabul,Hasan Karez,hostile,hostile fire - ied attack,American Samoa,Pago Pago,NA
2013-08-23,"Hostetter, Jonathon Michael Dean",Private,United States,U.S. Army,20,Afghanistan,Eastern Afghanistan,Haft Asiab,hostile,hostile fire - ied attack,Missouri,Humphreys,5988927
2013-08-23,"Alvarez, Kenneth Clifford",Specialist,United States,U.S. Army,23,Afghanistan,Eastern Afghanistan,Haft Asiab,hostile,hostile fire - ied attack,California,Santa Maria,37253956
2013-08-20,"Banner Jr., George A.",Master Sergeant,United States,U.S. Army,37,Afghanistan,Wardak,Wardak,hostile,hostile fire - small arms fire,Virginia,Orange,8001024
2013-08-11,"Herrera, Octavio",Staff Sergeant,United States,U.S. Army,26,Afghanistan,Paktia,Paktia,hostile,hostile fire - indirect fire,Idaho,Caldwell,1567582
2013-08-11,"Grace Jr., Keith E.",Specialist,United States,U.S. Army,26,Afghanistan,Paktia,Paktia,hostile,hostile fire - indirect fire,Texas,Baytown,25145561
2013-08-11,"Hicks, Jamar A.",Sergent,United States,U.S. Army,22,Afghanistan,Khost,Forward Operating Base Salerno,hostile,hostile fire,Arkansas,Little Rock,2915918
2013-08-06,"Welch, Nickolas S.",Specialist,United States,U.S. Army,26,Afghanistan,Wardak,"Bethesda, MD",hostile,hostile fire - ied attack,Oregon,Mill City,3831074
2013-07-30,"Burley, Nicholas B.",Specialist,United States,U.S. Army,22,Afghanistan,Logar,Pul-E-Alam,hostile,hostile fire - indirect fire,California,Red Bluff,37253956
2013-07-28,"New, Stephen M.",Sergent,United States,U.S. Army,29,Afghanistan,Kabul,Sarobi District,hostile,hostile fire - small arms fire,Tennessee,Bartlett,6346105
2013-07-27,"Nouv, Caryn E.",Specialist,United States,U.S. Army,29,Afghanistan,Ghazni,Ghazni,hostile,"hostile fire - ied attack, small arms fire",Virginia,Newport News,8001024
2013-07-27,"Lawson, Eric T.",Sergent,United States,U.S. Army,30,Afghanistan,Ghazni,Ghanzi,hostile,"hostile fire - ied attack, small arms fire",Georgia,Stockbridge,9687653
2013-07-23,"Nichols, Rob L.",Specialist,United States,U.S. Army,24,Afghanistan,Wardak,Soltan Kheyl,hostile,hostile fire - suicide bomber,Colorado,Colorado Springs,5029196
2013-07-23,"Smith, Stefan M.",Sergent,United States,U.S. Army,24,Afghanistan,Wardak,Soltan Kheyl,hostile,hostile fire - suicide bomber,Georgia,Glennville,9687653
2013-07-23,"Russell, Jonam",1st Lieutenant,United States,U.S. Army,0,Afghanistan,Wardak,Soltan Kheyl,hostile,hostile fire - suicide bomber,Arizona,Cornville,6392017
2013-07-22,"Maddox, Anthony R.",Specialist,United States,U.S. Army,22,Afghanistan,Ghazni,"Landstuhl Reg. Med. Center, Landstuhl, Germany",non-hostile,NA,Texas,Port Arthur,25145561
2013-07-16,"Zimmerman, Sonny C.",Staff Sergeant,United States,U.S. Army,25,Afghanistan,Paktia,Mushaka,hostile,hostile fire - rpg attack,Ohio,Waynesfield,11536504
2013-07-14,"Tuttle, Benjamin W.",Lance Corporal,United States,U.S. Marine,19,Afghanistan,Unknown,"Landstuhl Regional Medical Center, Germany",non-hostile,NA,Arkansas,Gentry,2915918
2013-07-04,"Milliard, Errol D.A.",Private,United States,U.S. Army,18,Afghanistan,Farah,Farah,hostile,hostile fire - rpg attack,Alabama,Birmingham,4779736
2013-07-03,"Stapley, Tracy L.",1st Sergeant,United States,U.S. Army,44,Afghanistan,Qatar,Sayliyah,non-hostile,NA,Utah,Clearfield,2763885
2013-07-02,"Clayton, Hilda I.",Specialist,United States,U.S. Army,22,Afghanistan,Kabul,Qaraghahi,non-hostile,NA,Georgia,Augusta,9687653
2013-06-28,"Rogers, Justin R.",Sergent,United States,U.S. Army,25,Afghanistan,Parwan,Bagram,non-hostile,NA,New York,Barton,19378102
2013-06-23,"Garver, Corey E.",Sergeant,United States,U.S. Army,25,Afghanistan,Paktika,Zormat,hostile,hostile fire - ied attack,Maine,Topsham,1328361
2013-06-23,"Sanchez Jr., Javier",Specialist,United States,U.S. Army,28,Afghanistan,Paktika,Sar Rowzah,hostile,hostile fire - ied attack,California,Greenfield,37253956
2013-06-19,"Moody, William R.",Specialist,United States,U.S. Army,30,Afghanistan,Parwan,Bagram Air Base,hostile,hostile fire - rocket fire,Texas,Burleson,25145561
2013-06-19,"Ellis, Robert W.",Specialist,United States,U.S. Army,21,Afghanistan,Parwan,Bagram Air Base,hostile,hostile fire - rocket fire,Washington,Kennewick,6724540
2013-06-19,"Alt, Ember M.",Specialist,United States,U.S. Army,21,Afghanistan,Parwan,Bagram Air Base,hostile,hostile fire - rocket fire,South Carolina,Beech Island,4625364
2013-06-19,"Johnson, Justin R.",Sergeant,United States,U.S. Army,25,Afghanistan,Parwan,Bagram Air Base,hostile,hostile fire - rocket fire,Florida,Hobe Sound,18801310
2013-06-16,"Brown, Jared W.",Lance Corporal,United States,U.S. Marine,20,Afghanistan,Helmand,Helmand,non-hostile,NA,Florida,Youngstown,18801310
2013-06-10,"Thomas Jr., Jesse L.",Staff Sergeant,United States,U.S. Army,31,Afghanistan,Helmand,Helmand,hostile,hostile fire,Florida,Pensacola,18801310
2013-06-08,"Clark, Todd J.",Lieutenant Colonel,United States,U.S. Army,40,Afghanistan,Paktika,Zarghun Shahr,hostile,hostile fire - small arms fire - green on blue,New York,Evans Mills,19378102
2013-06-08,"Leonard, Jaimie E.",Major,United States,U.S. Army,39,Afghanistan,Paktika,Zarghun Shahr,hostile,hostile fire - small arms fire - green on blue,New York,Warrick,19378102
2013-06-03,"Pierce, Robert A.",Specialist,United States,U.S. Army,20,Afghanistan,Paktia,Tsamkani,hostile,hostile fire - ied attack,Oklahoma,Panama,3751351
2013-06-03,"Sisson, Justin L.",2nd Lieutenant,United States,U.S. Army,23,Afghanistan,Paktia,Tsamkani,hostile,hostile fire - ied attack,Arizona,Phoenix,6392017
2013-06-02,"Mullen, Sean W.",Warrant Officer,United States,U.S. Army,39,Afghanistan,Helmand,Lashkar Gah,hostile,hostile fire - ied attack,Delaware,Dover,897934
2013-06-01,"Raymundo, Mariano M.",Private 1st Class,United States,U.S. Army,21,Afghanistan,Paktika,Sharan,hostile,hostile fire - direct attack,Texas,Houston,25145561
2013-06-01,"Stoeckli, Kyle P.",Specialist,United States,U.S. Army,21,Afghanistan,Kandahar,Maiwand,hostile,hostile fire - ied attack,Virginia,Moseley,8001024
2013-06-01,"Ramirez, Ray A.",Specialist,United States,U.S. Army,20,Afghanistan,Wardak,Wardak,hostile,hostile fire - ied attack,California,Sacramento,37253956
2013-05-30,"Nunezrodriguez, Joe A.",Staff Sergeant,United States,U.S. Army,29,Afghanistan,Wardak,Wardak,hostile,hostile fire - ied attack,California,Pasadena,37253956
2013-05-26,"Drake, Christopher R.",Specialist,United States,U.S. Army National Guard,20,Afghanistan,Parwan,Bagram,hostile,hostile fire - rpg attack,Louisiana,Tickfaw,4533372
2013-05-16,"Aguon, Eugene M.",Sergent,United States,U.S. Army National Guard,23,Afghanistan,Kabul,Kabul,hostile,hostile fire - suicide car bomb,Guam,Mangilao,NA
2013-05-16,"Flores, Dwayne W.",Specialist,United States,U.S. Army,22,Afghanistan,Kabul,Kabul,hostile,hostile fire - suicide car bomb,Guam,Sinajana,NA
2013-05-15,"Rhea, Trenton L.",Sergeant 1st Class,United States,U.S. Army,33,Afghanistan,Kandahar,Kandahar,non-hostile,illness,Kansas,Oakley,2853118
2013-05-14,"Gilbert, William Joseph",Specialist,United States,U.S. Army,24,Afghanistan,Kandahar,Sanjaray,hostile,hostile fire - ied attack,California,Hacienda Heights,37253956
2013-05-14,"Daehling, Mitchell Kirk",Specialist,United States,U.S. Army,24,Afghanistan,Kandahar,Sanjaray,hostile,hostile fire - ied attack,Massachusetts,Dalton,6547629
2013-05-14,"Baker, Jeffrey C.",Sergeant 1st Class,United States,U.S. Army,29,Afghanistan,Kandahar,Sanjaray,hostile,hostile fire - ied attack,California,Hesperia,37253956
2013-05-14,"Towse, Cody J.",Private 1st Class,United States,U.S. Army,21,Afghanistan,Kandahar,Sanjaray,hostile,hostile fire - ied attack,Utah,Elk Ridge,2763885
2013-05-04,"Landrum, Brandon J.",1st Lieutenant,United States,U.S. Army,26,Afghanistan,Kandahar,Maiwand,hostile,hostile fire - ied attack,Oklahoma,Lawton,3751351
2013-05-04,"Cardoza, Kevin",Specialist,United States,U.S. Army,19,Afghanistan,Kandahar,Maiwand,hostile,hostile fire - ied attack,Texas,Mercedes,25145561
2013-05-04,"Prescott, Brandon Joseph",Specialist,United States,U.S. Army,24,Afghanistan,Kandahar,Maiwand,hostile,hostile fire - ied attack,Oregon,Bend,3831074
2013-05-04,"Phillips IV, Francis Gene",Staff Sergeant,United States,U.S. Army,28,Afghanistan,Kandahar,Maiwand,hostile,hostile fire - ied attack,New York,Meridian,19378102
2013-05-04,"Murach, Thomas Paige",Specialist,United States,U.S. Army,22,Afghanistan,Kandahar,Maiwand,hostile,hostile fire - ied attack,Idaho,Meridian,1567582
2013-05-04,"Christian, Eric D.",Staff Sergeant,United States,U.S. Marine,39,Afghanistan,Farah,Farah,hostile,hostile fire - small arms fire - green on blue,New York,Warwick,19378102
2013-05-04,"Sonka, David M.",Corporal,United States,U.S. Marine,23,Afghanistan,Farah,Farah,hostile,hostile fire - small arms fire - green on blue,Colorado,Parker,5029196
2013-05-03,"Mackey III, Herman",Technical Sergeant,United States,U.S. Air Force,30,Afghanistan,Unknown,Chon-Aryk,non-hostile,aircraft crash (kc-135),California,Bakersfield,37253956
2013-05-03,"Pinckney, Victoria A.",Captain,United States,U.S. Air Force,27,Afghanistan,Unknown,Chon-Aryk,non-hostile,aircraft crash (kc-135),California,Palmdale,37253956
2013-05-03,"Voss, Mark T.",Captain,United States,U.S. Air Force,27,Afghanistan,Unknown,Chon-Aryk,non-hostile,aircraft crash (kc-135),Colorado,Colorado Springs,5029196
2013-05-02,"McClure, Charles P.",Private 1st Class,United States,U.S. Army,21,Afghanistan,Unknown,Camp Buehring,non-hostile,vehicle accident,Oklahoma,Stratford,3751351
2013-05-02,"Santiago Jr., Trinidad",Specialist,United States,U.S. Army,25,Afghanistan,Unknown,Camp Buehring,non-hostile,vehicle accident,California,San Diego,37253956
2013-05-01,"Simpson, Michael H.",Staff Sergeant,United States,U.S. Army,30,Afghanistan,Ghazni,Arian,hostile,hostile fire - ied attack,Texas,San Antonio,25145561
2013-04-28,"Nishizuka, Reid K.",Captain,United States,U.S. Air Force,30,Afghanistan,Kandahar,Kandahar Airfield (near),non-hostile,helicopter crash,Hawaii,Kailua,1360301
2013-04-28,"Cyr, Brandon L.",Captain,United States,U.S. Air Force,28,Afghanistan,Kandahar,Kandahar Airfield (near),non-hostile,helicopter crash,Virginia,Woodbridge,8001024
2013-04-28,"Dickson, Richard A.",Staff Sergeant,United States,U.S. Air Force,24,Afghanistan,Kandahar,Kandahar Airfield (near),non-hostile,helicopter crash,California,Rancho Cordova,37253956
2013-04-28,"Fannin, Daniel N.",Staff Sergeant,United States,U.S. Air Force,30,Afghanistan,Kandahar,Kandahar Airfield (near),non-hostile,helicopter crash,Kentucky,Morehead,4339367
2013-04-23,"Blanchard, Aaron R.",Captain,United States,U.S. Army,32,Afghanistan,Logar,Pul-E-Alam,hostile,hostile fire - indirect fire,Washington,Selah,6724540
2013-04-23,"Hess, Robert J.",1st Lieutenant,United States,U.S. Army,26,Afghanistan,Logar,Pul-E-Alam,hostile,hostile fire - indirect fire,Virginia,Fairfax,8001024
2013-04-21,"Austin, Barrett L.",Private 1st Class,United States,U.S. Army,20,Afghanistan,Wardak,"Landstuhl Regional Medical Center, Landstuhl, Germany",hostile,hostile fire - ied attack,South Carolina,Easley,4625364
2013-04-09,"Ruffner, Matthew P.",Chief Warrant Officer 3,United States,U.S. Army National Guard,34,Afghanistan,Nangarhar,Pachir Agam district,non-hostile,helicopter crash,Pennsylvania,Tafford,12702379
